SUID,tf,interaction,target,confidence_score
6204,STAT,positive_KC,GNGT2,1.896868193
6205,STAT,positive_KC,GNPDA1,1.591569013
6206,STAT,positive_KC,GP49A,1.634873102
6207,STAT,positive_KC,GPR171,1.527725903
6208,STAT,positive_KC,GPR183,1.882775427
6209,STAT,negative_KC,GPR25,-1.510937675
6210,STAT,positive_KC,GPR65,1.933935078
6211,STAT,positive_KC,GPR68,1.960117892
6212,STAT,positive_KC,GPSM2,1.7154675
6213,STAT,negative_KC,GRAP2,-1.563367882
6214,STAT,positive_KC,GRINA,1.650376743
6215,STAT,positive_KC,GSTT2,1.96565634
6216,STAT,positive_KC,GSTT3,1.610826452
6217,STAT,positive_KC,GTF2A1,1.815436218
6218,STAT,positive_KC,GYPC,1.8152977
6219,STAT,positive_KC,GYS1,1.698832434
6220,STAT,negative_KC,H2-T24,-1.923969009
6221,STAT,positive_KC,HDAC4,1.905229036
6222,STAT,positive_KC,HEMK1,1.814433304
6223,STAT,positive_KC,HIF1A,1.645962632
6224,STAT,positive_KC,HIPK2,1.749732072
6225,STAT,positive_KC,HIPK3,1.608610445
6226,STAT,positive_KC,HIVEP2,1.874436819
6227,STAT,positive_KC,HIVEP3,1.688882033
6228,STAT,positive_KC,HK2,1.914087891
6229,STAT,positive_KC,HMOX1,1.781192467
6230,STAT,positive_KC,HOOK2,1.916570897
6231,STAT,positive_KC,HSPB6,1.635296319
6232,STAT,negative_KC,ICAM1,-1.828537818
6233,STAT,positive_KC,ID2,1.934333131
6234,STAT,positive_KC,IER3,1.926593549
6235,STAT,negative_KC,IFI203,-1.63573045
6236,STAT,positive_KC,IGFBP4,1.652293844
6237,STAT,negative_KC,IGTP,-1.818178025
6238,STAT,positive_KC,IL10,1.973927863
6239,STAT,positive_KC,IL12RB1,1.764219383
6240,STAT,negative_KC,IL15RA,-1.656067842
6241,STAT,positive_KC,IL17A,1.984254816
6242,STAT,positive_KC,IL17F,1.986026047
6243,STAT,positive_KC,IL1R1,1.973156445
6244,STAT,positive_KC,IL2,1.80849033
6245,STAT,positive_KC,IL21,1.937131078
6246,STAT,negative_KC,IL21R,-1.919979439
6247,STAT,positive_KC,IL23R,1.97979792
6248,STAT,positive_KC,IL24,1.89957378
6249,STAT,positive_KC,IL2RA,1.969555781
6250,STAT,positive_KC,IL4RA,1.957233693
6251,STAT,positive_KC,IL7R,1.787239777
6252,STAT,positive_KC,IL9,1.793530988
6253,STAT,negative_KC,IRF1,-1.915779528
6254,STAT,positive_KC,IRF4,1.768753792
6255,STAT,negative_KC,IRF8,-1.659853681
6256,STAT,negative_KC,IRGM1,-1.854270976
6257,STAT,negative_KC,IRGM2,-1.532943964
6258,STAT,positive_KC,ITGA3,1.842029092
6259,STAT,positive_KC,ITPRIPL2,1.898077129
6260,STAT,positive_KC,JAK2,1.87253321
6261,STAT,positive_KC,JAK3,1.928325615
6262,STAT,positive_KC,JUNB,1.895782001
6263,STAT,positive_KC,KCNA3,1.706202707
6264,STAT,positive_KC,KCTD12,1.660731846
6265,STAT,positive_KC,KHNYN,1.69334696
6266,STAT,positive_KC,KIF3A,1.577826164
6267,STAT,positive_KC,KLF10,1.646480684
6268,STAT,positive_KC,KLF13,1.832062735
6269,STAT,positive_KC,KLHL24,1.556944622
6270,STAT,positive_KC,KLHL6,1.965040846
6271,STAT,positive_KC,KSR1,1.916194826
6272,STAT,positive_KC,LAG3,1.936176083
6273,STAT,positive_KC,LAMC1,1.818767727
6274,STAT,positive_KC,LEF1,1.951030911
6275,STAT,positive_KC,LGALS1,1.706743732
6276,STAT,positive_KC,LIF,1.96685841
6277,STAT,positive_KC,LMNA,1.944443394
6278,STAT,positive_KC,LPIN1,1.530779074
6279,STAT,positive_KC,LPP,1.985099409
6280,STAT,positive_KC,LPXN,1.900480374
6281,STAT,negative_KC,LRMP,-1.853450799
6282,STAT,positive_KC,LRRC8D,1.815305947
6283,STAT,positive_KC,LRRFIP1,1.757479965
6284,STAT,negative_KC,LTA,-1.971028416
6285,STAT,negative_KC,LTB,-1.950695664
6286,STAT,positive_KC,LTB4R1,1.651518132
6287,STAT,positive_KC,MAF,1.853935624
6288,STAT,positive_KC,MALAT1,1.909569067
6289,STAT,positive_KC,MALT1,1.801695534
6290,STAT,positive_KC,MAML2,1.933961529
6291,STAT,positive_KC,MAN1A,1.813907913
6292,STAT,positive_KC,MAP3K1,1.757628407
6293,STAT,positive_KC,MAP3K5,1.815537161
6294,STAT,positive_KC,MAP3K8,1.894685406
6295,STAT,positive_KC,MAP4K5,1.542291351
6296,STAT,positive_KC,MAPK14,1.839242709
6297,STAT,positive_KC,MCTP2,1.921269288
6298,STAT,positive_KC,MDFIC,1.840071296
6299,STAT,positive_KC,MFHAS1,1.976548951
6300,STAT,positive_KC,MFSD6,1.526150548
6301,STAT,positive_KC,MGEA5,1.61662237
6302,STAT,positive_KC,MGLL,1.987818415
6303,STAT,positive_KC,MGRN1,1.617670704
6304,STAT,positive_KC,MIDN,1.918541596
6305,STAT,positive_KC,MLL5,1.6684329
6306,STAT,positive_KC,MOBKL2B,1.910250869
6307,STAT,positive_KC,MPP2,1.57061857
6308,STAT,negative_KC,MPZL2,-1.571325048
6309,STAT,positive_KC,MS4A6B,1.887280685
6310,STAT,positive_KC,MSI2,1.785382229
6311,STAT,positive_KC,MT1,1.739072941
6312,STAT,positive_KC,MT2,1.736129824
6313,STAT,positive_KC,MYST4,1.894662826
6314,STAT,negative_KC,NAMPT,-1.637449331
6315,STAT,positive_KC,NCS1,1.943715956
6316,STAT,positive_KC,NEAT1,1.959237831
6317,STAT,positive_KC,NEURL3,1.527791454
6318,STAT,positive_KC,NFATC2,1.976250455
6319,STAT,positive_KC,NFIL3,1.910567173
6320,STAT,positive_KC,NFYB,1.528130656
6321,STAT,positive_KC,NLGN2,1.57851929
6322,STAT,positive_KC,NPC2,1.803678523
6323,STAT,positive_KC,NR4A2,1.803698893
6324,STAT,negative_KC,NR4A3,-1.743105252
